geoid,outcome,source,value,quantity
01001,incidD,incidence,0.008875497815124068,P
01001,incidH,incidence,0.09305072472379197,P
01001,incidICU,incidH,0.3169928520418289,P
01001,incidVent,incidICU,0.439577645097848,P
01001,incidD,incidence,0.8919472836774881,R
01001,incidH,incidence,0.9362369658923875,R
01001,incidVent,incidICU,1.0020472793071873,R
01001,incidICU,incidH,0.9363704380883431,R
01003,incidD,incidence,0.01223259100385092,P
01003,incidH,incidence,0.11376202551648693,P
01003,incidICU,incidH,0.3586745988924328,P
01003,incidVent,incidICU,0.4386521575351319,P
01003,incidD,incidence,1.2284606802529663,R
01003,incidH,incidence,1.1440172800163375,R
01003,incidVent,incidICU,1.021921368350236,R
01003,incidICU,incidH,1.1215799560143802,R
01005,incidD,incidence,0.010597678135700409,P
01005,incidH,incidence,0.10425891268581951,P
01005,incidICU,incidH,0.3402846457436517,P
01005,incidVent,incidICU,0.4386536808804212,P
01005,incidD,incidence,1.0642389308285685,R
01005,incidH,incidence,1.0481944917681671,R
01005,incidVent,incidICU,1.0016524799818867,R
01005,incidICU,incidH,1.0327089976107713,R
01007,incidD,incidence,0.009753142232356148,P
01007,incidH,incidence,0.10003551121132037,P
01007,incidICU,incidH,0.3251455547326169,P
01007,incidVent,incidICU,0.4395178417381973,P
01007,incidD,incidence,0.979471914771032,R
01007,incidH,incidence,1.005459031518324,R
01007,incidVent,incidICU,1.0049051270823444,R
01007,incidICU,incidH,0.9881961034015209,R
01009,incidD,incidence,0.010877393645171502,P
01009,incidH,incidence,0.10517244361644407,P
01009,incidICU,incidH,0.34194029396641784,P
01009,incidVent,incidICU,0.439221286029702,P
01009,incidD,incidence,1.092366699644882,R
01009,incidH,incidence,1.0561089797253351,R
01009,incidVent,incidICU,1.0102966966937115,R
01009,incidICU,incidH,1.0420955305816588,R
01011,incidD,incidence,0.010026564943297917,P
01011,incidH,incidence,0.101880727009477,P
01011,incidICU,incidH,0.3347382174110499,P
01011,incidVent,incidICU,0.43714014220199504,P
01011,incidD,incidence,1.0073388410028334,R
01011,incidH,incidence,1.0255854037584025,R
01011,incidVent,incidICU,0.9922496276064052,R
01011,incidICU,incidH,1.0140452258581703,R
01013,incidD,incidence,0.012102166112394308,P
01013,incidH,incidence,0.11179510918681333,P
01013,incidICU,incidH,0.3667987043490643,P
01013,incidVent,incidICU,0.4376831494974136,P
01013,incidD,incidence,1.216740757636373,R
01013,incidH,incidence,1.1243937936418082,R
01013,incidVent,incidICU,1.0136065794081912,R
01013,incidICU,incidH,1.11898030447768,R
01015,incidD,incidence,0.010773783889432448,P
